name,type,port,proto,ttl,service,prio,value
default._domainkey.staging29,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCd3vZr+IZ9TFvjeLnm+7JZI3Fs8SDybAFkOr+9T5JhU0lHLKXqW4hw3Y5fMzZmNMJ6b41hQeG+pDcjYMaJ4JPX8pwJ6AcBe+5FuuVIuk+CXkTohufQOGxiYMtA36QWdtV7LGRpb6Q880kgXxM2DdU4mewA9aJSjwOf9YwAA0+tCwIDAQAB
www.staging29,A,NA,NA,86400,NA,NA,34.90.154.249
staging33,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
staging33,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.staging33,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDPm+QEkt
www.staging33,A,NA,NA,86400,NA,NA,34.90.154.249
staging51,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
staging51,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.staging51,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDUfDLlABCB69uCPOwwnXZ907VK0Oi+uAwmD2oqK8SWsCSBmbZkL4uICcrDIn3TBCb+FqSzmpm39aX+kx1LZOCeYMDh0VsMav+TetIwj5kE+yhuoIKsd3iQLSR+523wimAYMmsQr58l
anita,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
anita,A,NA,NA,86400,NA,NA,34.90.154.249
